32.9081,76.7971,6.9041,14.6347,7.0949,38.7083,43.2223,92.2767,25.2784,97.4268,68.6600,70.0140
73.4849,86.7439,48.2755,47.5379,96.7587,56.0614,93.0004,67.8667,84.5659,39.2609,12.5530,0.0704
49.3911,83.3148,85.0322,76.8689,45.9174,32.9835,91.8046,36.6204,87.6545,12.5657,2.3303,52.9043
5.4748,93.4280,57.7344,21.7230,58.2416,86.9142,94.2165,16.2856,49.5606,56.2427,67.7999,12.4031
26.6592,98.1268,90.4579,33.7193,37.4948,5.1062,64.3143,65.3129,0.4164,82.9606,5.4015,36.6524
97.0519,64.0748,81.3673,80.4489,33.5658,27.2577,48.5602,32.6438,28.0290,7.2709,63.0796,50.5872
72.3657,53.1991,57.6653,91.3992,86.1916,73.8015,21.7083,10.5789,26.8257,90.1105,95.2026,12.1115
44.8620,0.7979,89.1166,5.6450,77.9038,54.2093,74.4460,3.7463,56.4160,12.4680,40.1256,22.8133
55.1197,87.6839,6.0052,34.9141,60.9539,28.0504,91.2623,54.6355,44.3495,32.4964,80.9034,34.9691
14.4108,76.5624,3.4201,89.3275,10.5688,39.2976,31.1993,52.9748,33.3731,31.2314,41.9469,46.4718
45.3077,36.8479,34.1708,6.1788,78.8649,1.5010,72.6778,2.4237,73.5859,12.3311,51.0747,74.6355
26.3716,45.5022,97.4256,74.5608,80.0912,77.9555,16.4982,23.6183,94.3653,90.8800,57.4477,58.5184
39.3684,24.2291,19.3183,60.4616,28.5989,76.8665,58.4022,37.5484,59.7837,85.3032,41.2848,57.4737
64.4323,55.4915,95.3106,8.1458,76.0306,66.7719,44.2419,97.5607,14.4587,14.8196,81.0427,91.0803
49.9425,11.3205,22.0040,24.2018,53.6953,12.1066,6.8379,21.9759,64.3778,2.6118,57.9024,2.4180
99.6042,29.7637,88.3800,40.5782,19.9430,32.8018,54.0171,22.3728,9.2095,92.0225,75.9412,22.8493
69.3201,84.0750,23.1107,2.2472,40.5755,5.1887,32.1086,25.0327,48.9626,99.5906,59.2788,72.0289
50.9129,9.3771,5.6130,33.8268,92.9274,44.2290,28.3331,44.8563,28.5768,54.6184,54.7705,41.8101
38.6062,80.5303,43.9331,7.5584,81.2241,39.2272,99.0576,92.2552,59.1247,10.2155,20.4817,87.0302
27.3945,73.3231,2.3313,62.4764,82.1719,56.6798,18.7999,74.0857,63.7809,55.3943,16.2126,79.8482
80.0285,88.8499,25.5969,11.4277,5.4561,74.7965,37.1473,89.6363,40.5572,11.7953,32.7515,77.3763
21.3192,78.0744,55.6611,18.7833,53.9229,74.4848,7.4191,21.9952,12.0294,61.9997,1.3230,4.7872
74.8061,70.0775,68.9811,37.2582,2.6923,81.2143,11.9347,83.8146,44.8775,29.1406,13.8521,67.8951
47.5626,83.3696,80.4593,57.1901,85.2969,31.1839,54.1603,94.5582,69.0319,9.6533,58.2070,80.4003
94.0049,84.9009,61.3166,45.9505,78.1645,23.5936,17.7921,43.7553,7.5701,52.5082,30.4886,21.5546
49.0484,56.0309,4.3775,38.8466,12.3596,18.5738,6.9946,31.6054,44.2262,79.1498,28.7219,29.9435
14.7975,28.7235,40.6330,85.9447,13.4726,47.4592,80.5464,74.4670,5.4769,48.6186,58.9641,88.4001
13.1828,68.6129,65.7340,61.6835,76.8917,18.5924,75.5578,18.3284,18.6382,91.9617,95.8802,63.7574
79.5528,4.3387,74.2248,5.9628,26.4156,27.7254,83.7086,18.3045,26.2560,69.0421,35.2457,33.2074
69.2038,34.6779,22.8673,86.5862,79.2647,17.3395,94.6141,16.5163,90.2955,39.2346,55.6228,56.4848
